t,o,h,l,c,v
1643877000000,37020.0,37065.0,37002.0,37005.0,74249
1643877900000,37004.0,37050.0,36955.0,37050.0,119474
1643878800000,37050.0,37061.0,36962.0,36991.0,73593
1643879700000,36987.0,36988.0,36850.0,36900.0,213603
1643880600000,36900.0,36988.0,36892.0,36932.0,113261
1643881500000,36933.0,36960.0,36567.0,36591.0,461757
1643882400000,36592.0,36647.0,36310.0,36414.0,1075144
1643883300000,36415.0,36448.0,36244.0,36320.0,565997
1643884200000,36320.0,36435.0,36289.0,36371.0,406832
1643885100000,36370.0,36442.0,36359.0,36371.0,170949
1643886000000,36370.0,36425.0,36329.0,36384.0,161405
1643886900000,36383.0,36500.0,36265.0,36488.0,310681
1643887800000,36488.0,36711.0,36464.0,36690.0,739414
1643888700000,36689.0,36797.0,36623.0,36754.0,374771
1643889600000,36760.0,36763.0,36588.0,36599.0,241273
1643890500000,36598.0,36687.0,36219.0,36314.0,506087
1643891400000,36314.0,36496.0,36219.0,36438.0,575480
1643892300000,36439.0,36680.0,36390.0,36658.0,628406
1643893200000,36659.0,36742.0,36594.0,36695.0,290139
1643894100000,36696.0,36714.0,36637.0,36643.0,146328
1643895000000,36647.0,36728.0,36584.0,36589.0,195041
1643895900000,36589.0,36618.0,36434.0,36573.0,334731
1643896800000,36572.0,36654.0,36497.0,36597.0,251045
1643897700000,36597.0,36687.0,36532.0,36537.0,200541
1643898600000,36537.0,36749.0,36462.0,36649.0,620458
1643899500000,36649.0,36655.0,36480.0,36500.0,395888
1643900400000,36500.0,36611.0,36460.0,36588.0,366900
1643901300000,36588.0,36900.0,36583.0,36853.0,694837
1643902200000,36853.0,36974.0,36763.0,36840.0,323883
1643903100000,36840.0,36919.0,36770.0,36888.0,257950
1643904000000,36888.0,37147.0,36830.0,37021.0,588934
1643904900000,37021.0,37053.0,36821.0,36853.0,325619
1643905800000,36854.0,36886.0,36806.0,36831.0,176731
1643906700000,36831.0,36859.0,36669.0,36672.0,257911
1643907600000,36666.0,36756.0,36539.0,36732.0,468595
1643908500000,36729.0,36787.0,36560.0,36783.0,355956
1643909400000,36783.0,36863.0,36712.0,36757.0,235825
1643910300000,36750.0,36824.0,36701.0,36817.0,203547
1643911200000,36813.0,36814.0,36675.0,36724.0,177040
1643912100000,36718.0,36763.0,36685.0,36693.0,121966
1643913000000,36692.0,36825.0,36688.0,36774.0,148662
1643913900000,36775.0,36815.0,36726.0,36730.0,143073
1643914800000,36729.0,36799.0,36620.0,36624.0,173712
1643915700000,36624.0,36692.0,36588.0,36613.0,140492
1643916600000,36613.0,36676.0,36480.0,36496.0,260120
1643917500000,36496.0,36604.0,36425.0,36548.0,396245
1643918400000,36542.0,36590.0,36466.0,36569.0,270724
1643919300000,36570.0,36634.0,36523.0,36540.0,259713
1643920200000,36540.0,36540.0,36350.0,36422.0,408337
1643921100000,36421.0,36469.0,36260.0,36352.0,576274
1643922000000,36352.0,36919.0,36351.0,36729.0,1595929
1643922900000,36728.0,36872.0,36708.0,36784.0,419012
