id,symbol,autoDeposit,maintMarginReq,riskLimit,realLeverage,crossMode,delevPercentage,openingTimestamp,currentTimestamp,currentQty,currentCost,currentComm,unrealisedCost,realisedGrossCost,realisedCost,isOpen,markPrice,markValue,posCost,posCross,posInit,posComm,posLoss,posMargin,posMaint,maintMargin,realisedGrossPnl,realisedPnl,unrealisedPnl,unrealisedPnlPcnt,unrealisedRoePcnt,entryPrice,liquidationPrice,bankruptPrice,settleCurrency,isInverse,exitPrice,totalProfit,maxProfit,bot
1641545998500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-43348.63999999999,-43348.63999999999,-1.0303441718957975,-1,42072.0,52072.0,-1,USDT,False,42455.0,-0.8216742163786364,-0.16753755466818787,JesusShort
1641561298500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42220.0,52220.0,-1,USDT,False,-1,0,-1000,JesusShort
1641561298500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27633.6,27633.6,0.6545144481288488,-1,42220.0,52220.0,-1,USDT,False,41893.0,-0.1671597682497875,1.7914163903363334,JesusShort
1641573898500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41728.0,31728.0,-1,USDT,False,-1,0,-1000,JesusLong
1641573898500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-13207.359999999999,-13207.359999999999,-0.316510736196319,-1,41728.0,31728.0,-1,USDT,False,41646.0,-0.4836705044461065,0.8409854294478528,JesusLong
1641590998500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41840.0,51840.0,-1,USDT,False,-1,0,-1000,JesusShort
1641590998500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31579.2,31579.2,0.7547609942638623,-1,41840.0,51840.0,-1,USDT,False,41474.0,0.27109048981775585,0.757151051625239,JesusShort
1641599098500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41571.0,31571.0,-1,USDT,False,-1,0,-1000,JesusLong
1641599098500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35311.479999999996,35311.479999999996,0.8494258016405667,-1,41571.0,31571.0,-1,USDT,False,41974.0,1.1205162914583227,1.2992586177864376,JesusLong
1641606298500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41995.0,51995.0,-1,USDT,False,-1,0,-1000,JesusShort
